序号1,类型,件号,序号,名称,数量,冻结数量,单位,飞行小时,发动机小时,起落架次,适用机型,仓库,最低库存,架位,库存有效期,证书编号,适航标签号,上次检查日期,下次检查日期,生产厂商,供应商
17,消耗品,HB6255M5,,螺母,8,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
18,消耗品,HB2-51-1,,短空心铆钉,10,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
19,消耗品,HB2-48-8*12,,扁圆头螺钉,10,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
20,消耗品,HB2-51-2,,短空心铆钉,27,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
21,消耗品,HB1-202G-M4*10,,平圆头螺钉,8,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
22,消耗品,HB1-202G-M4*12,,平圆头螺钉,15,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
23,消耗品,HB1-404G-M6,,螺母,41,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
24,消耗品,HB2-48-10*17,,扁圆头螺钉,49,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
25,消耗品,HB1-402-M6,,螺母,30,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
26,消耗品,HB2-48-10*14,,扁圆头螺钉,2,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
27,消耗品,HB1-202G5-M5*12,,平圆头螺钉,30,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
28,消耗品,HB1-204-M5*16,,扁圆头螺钉,75,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
29,消耗品,HB1-202G-M5*14,,扁圆头螺钉,75,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
30,消耗品,HB1-202-M5*20,,平圆头螺钉,2,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
31,消耗品,HB2-54-2,,云形锁弹簧,27,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
32,消耗品,HB2-48-10*15,,扁圆头螺钉,5,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
33,消耗品,HB1-510-16*22*1.5,,钢纸板垫圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
34,消耗品,HB1-54-1,,云形锁弹簧,10,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
35,消耗品,HB3-51-08*8*15-2,,压缩弹簧,4,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
36,消耗品,HB1-510-18*25*1.5,,钢纸板垫圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
37,消耗品,HB4-70-2,,活门注油口,4,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
38,消耗品,Y5-6803-27,,减震器,4,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
39,消耗品,Y5-6909-150,,减震器,10,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
40,消耗品,Y5-6909-158,,减震器,4,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
41,消耗品,Y5-7005-42,,垫圈（胶木）,20,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
42,消耗品,Y5-7005-41,,垫圈（胶木）,16,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
43,消耗品,Y5-7005-40,,油门胶木垫,24,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
44,消耗品,Y507005-38,,垫圈（胶木）,2,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
45,消耗品,Y5-7005-273,,垫圈（胶木）,4,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
46,消耗品,Hb-521G1B8*16*1,,垫圈（金属）,4,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
47,消耗品,Y5-2300-84,,垫片,8,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
48,消耗品,Y5-2300-85,,垫片,4,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
49,消耗品,Hb-521LB4*8*1,,垫片,16,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
50,消耗品,HB1-510-16*20*1.5,,钢纸板垫圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
51,消耗品,HB1-510-20*30*1.5,,钢纸板垫圈,8,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
52,消耗品,HB1-510-12*16*1.5,,钢纸板垫圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
53,消耗品,Y5-6100-253,,衬圈,30,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
54,消耗品,Y5-6900-4,,销子,8,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
55,消耗品,Y5-6905-151-10w,,型材,4,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
56,消耗品,Y5-2300-30,,塞子,4,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
57,消耗品,Y5-4101-3,,垫圈,3,0,个,00:00,00:00,0,运5B（D）,库1,,B,,,,,,中航工业华北公司,中航工业华北公司
58,消耗品,Y5-4100-64,,螺栓,2,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
59,消耗品,Y5-4100-62-1,,螺栓,4,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
60,消耗品,Y5-4100-63-1,,螺栓,4,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
61,消耗品,Y5-4100-65,,螺栓,2,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
62,消耗品,Y5-4101-39,,密封圈,12,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
63,消耗品,Y5-4200-2,,螺栓,2,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
64,消耗品,Y5-4200-9,,螺栓,1,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
65,消耗品,Y5-5210-23,,连杆,8,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
66,消耗品,Y5-4100-63-2,,螺栓,4,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
67,消耗品,Y5-4201-40,,球村套,4,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
68,消耗品,Y5-4101-12,,垫圈,8,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
69,消耗品,Y5-4101-1,,毡圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
70,消耗品,Y5-4202-47,,密封圈,6,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
71,消耗品,Y5-4200-3,,螺栓,2,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
72,消耗品,Y5-4100-72,,村套,8,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
73,消耗品,Y5-4101-37,,密封圈,12,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
74,消耗品,Y5-4202-46,,密封圈,6,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
75,消耗品,Y5-3300-95,,螺栓,2,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
76,消耗品,Y5-4202-49,,密封圈,6,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
77,消耗品,Y5-4202-3,,密封圈,2,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
78,消耗品,Y5-4201-05,,毡圈,2,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
79,消耗品,Y5-4202-1,,毡圈,2,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
80,消耗品,Y5-4100-62-2,,螺栓,4,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
81,消耗品,Y5-4101-36,,密封圈,12,0,个,00:00,00:00,0,运5B（D）,库1,,C1,,,,,,中航工业华北公司,中航工业华北公司
82,消耗品,Y5-6400-09,,减震器,4,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
83,消耗品,Y5-6400-12,,减震器,18,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
84,消耗品,Y5-6400-22,,减震器,4,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
85,消耗品,Y5-6400-07,,减震器,2,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
86,消耗品,Y5-6100-36-1,,夹箍,2,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
87,消耗品,Y5-6100-36-2,,夹箍,2,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
88,消耗品,Y5-6202-1,,螺栓,4,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
89,消耗品,Y5-6204-200-5W,,带,2,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
90,消耗品,Y5-6204-200-6W,,带,2,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
91,消耗品,Y5-6102-15,,加油口密封圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
92,消耗品,Y5-6800-211/1,,村套,8,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
93,消耗品,Y5-6800-211/2,,村套,16,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
94,消耗品,Y5-6204-160,,油量尺盖密封垫圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
95,消耗品,Y5-6100-35-1,,夹箍,2,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
96,消耗品,Y5-6100-35-2,,夹箍,2,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
97,消耗品,Y5-6100-4,,管夹头,2,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
98,消耗品,Y5-6400-03,,螺栓,4,0,个,00:00,00:00,0,运5B（D）,库1,,C2,,,,,,中航工业华北公司,中航工业华北公司
99,消耗品,SMS-18-18,,起动机接线把防护套,24,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
100,消耗品,JT-7A,,充气嘴,1,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
101,消耗品,JB-10A,,电流保险丝,8,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
102,消耗品,SBL-100,,变流机碳刷,4,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
103,消耗品,HB1-706G5-43,,弹簧销,2,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
104,消耗品,HB1-151-8-24,,螺栓,6,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
105,消耗品,HB1-126G5-40,,螺栓,7,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
106,消耗品,Y5-100 382,,A值量规,2,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
107,消耗品,RIM-188WR,,起动机接合爪,3,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
108,消耗品,62．602．025,,离心油滤固定螺栓,1,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
109,消耗品,Y5-6909-87-1/2,,鱼鳞板轴颈,2,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
110,消耗品,Y5-6803-14,,带身螺栓,2,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
111,消耗品,Y5-6803-14(1),,叉身螺栓,2,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
112,消耗品,10.041,,发动机挺杆导套,1,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
113,消耗品,Y5-6900-1,,发动机包皮扣,10,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
114,消耗品,K6. 11. 202,,发动机滑油回油软管,2,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
115,时控件,Y5-6400-100,,发动机架,1,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
116,消耗品,6301-3*17,,调速器滑轮钢铆钉,12,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
117,消耗品,6233-3*14,,调速器滑轮钢铆钉,6,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
118,消耗品,Y5-6909-142-1/2,,内整流罩修理部件,1,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
119,消耗品,Y5-3600-6,,前缘木条,19,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
120,消耗品,K6.02.106,,警告油滤导线,5,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
121,消耗品,35103,,汽化器上盖密封垫,6,0,个,00:00,00:00,0,运5B（D）,库1,,C3,,,,,,中航工业华北公司,中航工业华北公司
122,消耗品,62.04.31,,气缸密封圈,21,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
123,消耗品,Y5-6102-3,,汽油箱油滤,5,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
124,消耗品,JXZ-2,,二孔接线柱,2,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
125,消耗品,JXZ-4,,四孔接线柱,2,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
126,消耗品,SRQ-12（附件）,,滑油散热器漏油垫圈,5,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
127,消耗品,Y5-6510-34,,调速器夹子,4,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
128,消耗品,Y5-6803-47A,,（牛头）进气道活门轴衬套,13,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
129,消耗品,Y5-6907-15,,前环减震器,4,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
130,消耗品,62．602．016,,离心油滤密封垫,52,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
131,消耗品,K6.02.209,,收油池油滤,4,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
132,消耗品,107924,,气缸摇臂室盖密封垫,92,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
133,消耗品,Y5-6907-14,,前环接耳,2,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
134,消耗品,2KC-10,,自动保护开关,1,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
135,消耗品,2KC-15,,自动保护开关,1,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
136,消耗品,2KC-20,,自动保护开关,1,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
137,消耗品,Y5-6907-22,,前环盒型件,1,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
138,消耗品,104213,,排气门安装边,58,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
139,消耗品,62．04．240,,排气管安装垫,7,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
140,消耗品,104490,,进气管安装垫,55,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
141,消耗品,HB1-101-6*92*3,,（进气管）螺栓,6,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
142,消耗品,100130,,进气管密封圈,14,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
143,消耗品,104491,,进气管安装垫,16,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
144,消耗品,Y5(B)-6200-128(A),,直角弯头（离心滤至滑油箱导管接头,1,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
145,消耗品,HB2-49-10*14.5,,平头锁扣,5,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
146,消耗品,HB1-703G-5*16*3,,带孔销钉,2,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
147,消耗品,HB1-703G-5*10*3,,带孔销钉,6,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
148,消耗品,HB1-202G5*10,,螺钉,8,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
149,消耗品,5GB930,,固定螺母,5,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
150,消耗品,HB1-154G5*22,,锥形销钉（栓）,10,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
151,消耗品,HB1-402G6,,螺姻,4,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
152,消耗品,HB1-703G4*10*3,,蒙皮顶杆销钉,2,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
153,消耗品,HB2-48-8*15,,（半圆头）锁扣,10,0,个,00:00,00:00,0,运5B（D）,库1,,C4,,,,,,中航工业华北公司,中航工业华北公司
154,消耗品,HD-3,,航行灯灯罩（1红1绿）,2,0,套,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
155,消耗品,WD-1,,航行灯灯罩 （白）,3,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
156,消耗品,DD-1,,白顶灯灯罩,10,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
157,时控件,ZWG-1,EA01,气缸头温度表,1,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
157,时控件,ZWG-1,XA01,气缸头温度表,1,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
157,时控件,ZWG-1,EA02,气缸头温度表,1,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
158,消耗品,100269,,衬垫,1,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
159,消耗品,100-RD-51,,弹簧垫片,65,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
160,消耗品,10-112,,双锁片,3,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
161,消耗品,HTBXS,,黄铜保险丝,20,0,cm,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
162,消耗品,GSN-3000M,,发电机备件,1,0,套,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
163,消耗品,DG-6,,电动机构备件,2,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
165,消耗品,DG-7A,,电动机构备件,2,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
166,消耗品,DG-8BJ,,电动机构备件,2,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
167,时控件,SBL-40,6030130,三相变流机,1,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
168,消耗品,SBL-125BJ ,,变流机备件,2,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
169,消耗品,QS-2A-1,,刹车分配器胶圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
170,消耗品,LW-9,,机轮占垫,2,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
171,消耗品,DHK-1,,点火开关备件,2,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
173,消耗品,LS-5,,刹车机轮备件,2,0,个,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
175,消耗品,LTC-6,,螺杆（ZH-11、ZH-12）（航向仪）,2,0,套,00:00,00:00,0,运5B（D）,库1,,C5,,,,,,中航工业华北公司,中航工业华北公司
176,消耗品,YL-9,,主汽油滤垫圈,3,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
177,消耗品,ZSQ-6,,注油器垫圈,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
178,消耗品,62-04-240,,衬套（排气管）,36,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
179,消耗品,105353,,衬套（回油管垫片）,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
180,消耗品,P9C-1526,,衬垫（调速器）,4,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
